"data","curs"
"20.02.2021",73.9717
"19.02.2021",73.7755
"18.02.2021",73.7669
"17.02.2021",73.2895
"16.02.2021",73.3092
"13.02.2021",73.9378
"12.02.2021",73.7579
"11.02.2021",73.8526
"10.02.2021",74.1192
"09.02.2021",74.2602
"06.02.2021",75.1107
"05.02.2021",75.7293
"04.02.2021",76.0801
"03.02.2021",75.9051
"02.02.2021",75.5053
"30.01.2021",76.2527
"29.01.2021",76.1854
"28.01.2021",75.04
"27.01.2021",75.6354
"26.01.2021",74.8569
"23.01.2021",74.3615
"22.01.2021",73.3694
"21.01.2021",73.355
"20.01.2021",73.7243
"19.01.2021",73.9735
"16.01.2021",73.5453
"15.01.2021",73.7961
"14.01.2021",73.5264
"13.01.2021",74.2663
"12.01.2021",74.5157
"01.01.2021",73.8757
"31.12.2020",73.8757
"30.12.2020",73.6567
"29.12.2020",73.7175
"26.12.2020",73.6921
"25.12.2020",74.8392
"24.12.2020",75.4571
"23.12.2020",75.3498
"22.12.2020",74.6721
"19.12.2020",73.3155
"18.12.2020",72.9781
"17.12.2020",73.4201
"16.12.2020",73.4453
"15.12.2020",72.9272
"12.12.2020",73.1195
"11.12.2020",73.7124
"10.12.2020",73.3057
"09.12.2020",73.6618
"08.12.2020",74.2506
"05.12.2020",74.2529
"04.12.2020",75.1996
"03.12.2020",75.6151
"02.12.2020",76.3203
"01.12.2020",76.1999
"28.11.2020",75.8599
"27.11.2020",75.4518
"26.11.2020",75.4727
"25.11.2020",75.8146
"24.11.2020",75.76
"21.11.2020",76.012
"20.11.2020",76.2627
"19.11.2020",75.9268
"18.11.2020",76.253
"17.11.2020",76.9197
"14.11.2020",77.3262
"13.11.2020",77.1148
"12.11.2020",76.2075
"11.11.2020",76.3978
"10.11.2020",76.9515
"07.11.2020",77.1875
"06.11.2020",78.4559
"04.11.2020",80.0006
"03.11.2020",80.5749
"31.10.2020",79.3323
"30.10.2020",78.8699
"29.10.2020",77.552
"28.10.2020",76.4556
"27.10.2020",76.4443
"24.10.2020",76.4667
"23.10.2020",77.0809
"22.10.2020",77.0322
"21.10.2020",77.778
"20.10.2020",77.9241
"17.10.2020",77.9644
"16.10.2020",77.9461
"15.10.2020",77.2759
"14.10.2020",77.2855
"13.10.2020",77.0239
"10.10.2020",77.0284
"09.10.2020",77.9157
"08.10.2020",78.0921
"07.10.2020",78.5119
"06.10.2020",78.1281
"03.10.2020",78.0915
"02.10.2020",77.2774
"01.10.2020",78.7847
"30.09.2020",79.6845
"29.09.2020",78.6713
"26.09.2020",76.8195
"25.09.2020",77.178
"24.09.2020",76.3545
"23.09.2020",76.2711
"22.09.2020",76.0381
"19.09.2020",75.0319
"18.09.2020",75.1941
"17.09.2020",74.9278
"16.09.2020",75.1884
