Дата,Зп
01.01.13,26840
01.02.13,26620
01.03.13,28693
01.04.13,30026
01.05.13,29723
01.06.13,30986
01.07.13,30229
01.08.13,29226
01.09.13,29346
01.10.13,30069
01.11.13,30290
01.12.13,39648
01.01.14,29535
01.02.14,29255
01.03.14,31486
01.04.14,32947
01.05.14,32272
01.06.14,33726
01.07.14,32515
01.08.14,30763
01.09.14,31929
01.10.14,32439
01.11.14,32546
01.12.14,42136
01.01.15,30929
01.02.15,31325
01.03.15,32642
01.04.15,34377
01.05.15,34380
01.06.15,35395
01.07.15,33901
01.08.15,32176
01.09.15,32911
01.10.15,33357
01.11.15,33347
01.12.15,43408
01.01.16,32660
01.02.16,33873
01.03.16,35501
01.04.16,36497
01.05.16,37270
01.06.16,38447
01.07.16,35888
01.08.16,35405
01.09.16,35843
01.10.16,35749
01.11.16,36195
01.12.16,47554
01.01.17,34422
01.02.17,35497
01.03.17,37899
01.04.17,39225
01.05.17,39679
01.06.17,41454
01.07.17,38073
01.08.17,37099
01.09.17,38047
01.10.17,38333
01.11.17,38848
01.12.17,51197
01.01.18,39017
01.02.18,40443
01.03.18,42364
01.04.18,43381
01.05.18,44076
01.06.18,45848
01.07.18,42413
01.08.18,41364
01.09.18,41774
01.10.18,42332
01.11.18,42595
01.12.18,55569
01.01.19,42263
01.02.19,43062
01.03.19,46324
01.04.19,48030
01.05.19,47926
01.06.19,49348
01.07.19,46509
01.08.19,44961
01.09.19,45541
01.10.19,46549
01.11.19,46285
01.12.19,62239
01.01.20,46674
01.02.20,47257
01.03.20,50948
01.04.20,49306
01.05.20,50747
01.06.20,52123
01.07.20,50145
01.08.20,47649
01.09.20,49259
01.10.20,49539
01.11.20,49274
01.12.20,69278
